一级功能,二级功能,子功能说明,角色说明
一、登录功能,管理员登录,使用管理员账号登录系统,管理员
一、登录功能,护工（健康管家）登录,使用护工账号登录系统,护工/健康管家
一、登录功能,退出系统,安全退出系统,通用
二、用户管理（管理员）,添加员工,设置姓名、账号、电话、密码、性别、邮箱、角色,管理员
二、用户管理（管理员）,查询所有员工,显示员工列表及角色信息,管理员
二、用户管理（管理员）,条件查询员工,按用户名模糊查询、按角色筛选,管理员
二、用户管理（管理员）,修改员工,修改个人信息、角色等,管理员
二、用户管理（管理员）,删除员工,逻辑删除员工账号,管理员
二、用户管理（管理员）,基础数据维护,查询系统用户列表、角色列表、配置用户角色、维护用户基础信息,管理员
三、客户管理（管理员）,入住登记,录入客户基本信息（姓名、出生日期、身份证等）、分配房间和床位、设置合同期限、记录身心状态和注意事项,管理员
三、客户管理（管理员）,查询客户,按姓名模糊查询、按老人类型查询（自理老人/护理老人）、显示客户详细信息,管理员
三、客户管理（管理员）,修改客户,更新客户个人信息、调整房间和床位、修改合同期限,管理员
三、客户管理（管理员）,删除客户,逻辑删除客户信息（需二次确认）,管理员
三、客户管理（管理员）,退住审批,查询退住申请列表、按客户姓名筛选、审批退住申请（同意/拒绝）、自动处理床位状态,管理员
三、客户管理（管理员）,外出审批,查询外出申请列表、按客户姓名筛选、审批外出申请（同意/拒绝）、自动更新床位状态为"外出",管理员
四、床位管理（管理员）,床位示意图,按楼层显示床位分布、显示床位状态（空闲/有人/外出）、显示入住客户信息,管理员
四、床位管理（管理员）,床位管理,查询所有床位、查询空闲床位、按房间查询床位、查看床位详情（含使用记录）,管理员
四、床位管理（管理员）,修改床位状态,修改床位状态、床位调换（查询客户当前床位、选择目标空闲床位、自动更新床位使用记录）,管理员
四、床位管理（管理员）,添加床位,设置房间号、床位号、备注,管理员
五、护理管理（管理员）,护理级别管理,添加护理级别、查询所有护理级别、修改护理级别、删除护理级别,管理员
五、护理管理（管理员）,护理项目管理,添加护理项目（编号、名称、价格、执行周期、次数等）、查询所有护理项目、修改护理项目、删除护理项目（逻辑删除）,管理员
五、护理管理（管理员）,客户护理设置,查询客户列表、为客户设置护理级别、为客户添加护理项目、查看客户护理项目,管理员
五、护理管理（管理员）,护理记录管理,查询所有护理记录、按客户查询护理记录、删除护理记录（逻辑删除）,管理员
五、护理管理（管理员）,设置服务对象,查询健康管家列表、为管家分配客户、查看管家服务客户列表、从管家移除客户,管理员
六、健康管家管理（管理员）,设置服务对象,查看护工服务对象、为护工分配客户、为护工移除客户,管理员
六、健康管家管理（管理员）,服务关注,查看服务缴费情况、查看服务过期提醒（30天内）、续费提醒管理（15天内到期）,管理员
七、日常护理（护工/健康管家）,查询服务客户,查询自己服务的客户信息列表、按姓名模糊查询、显示客户基本信息,护工/健康管家
七、日常护理（护工/健康管家）,执行护理操作,查看客户护理项目列表、查看项目状态（正常/已用完/已到期）、选择项目进行护理、记录护理内容和数量、自动扣减项目剩余次数、生成护理记录,护工/健康管家
八、服务对象护理记录（护工/健康管家）,查询客户,查询自己服务的客户信息列表、按姓名模糊查询,护工/健康管家
八、服务对象护理记录（护工/健康管家）,查看护理记录,显示护理记录详情（时间、项目、内容、数量）、查看记录状态（正常/已隐藏）,护工/健康管家
八、服务对象护理记录（护工/健康管家）,移除护理记录,逻辑隐藏护理记录（需二次确认）,护工/健康管家
九、外出申请（护工/健康管家）,添加外出登记,选择服务客户、填写外出事由、设置外出时间和预计返回时间、提交申请待审批,护工/健康管家
九、外出申请（护工/健康管家）,查询外出申请,查询客户外出申请信息列表、按客户姓名筛选、显示外出申请状态、登记实际回院时间,护工/健康管家
十、退住申请（护工/健康管家）,添加退住办理,选择服务客户、选择退住类型（正常/异常）、填写退住原因、设置退住时间、提交申请待审批,护工/健康管家
十、退住申请（护工/健康管家）,查询退住申请,查询客户退住申请信息列表、按客户姓名筛选、显示退住申请状态、查看退住详情,护工/健康管家
